R2,MAE,RMSE,MAPE,n,model,target,horizon,infra,n_train
0.2457,85.4479,150.0987,17.04,16605,LightGBM,Measured CO2,3h,Brick Single Story,119059
0.3453,169.5027,283.3588,29.92,16228,LightGBM,Measured CO2,3h,Container No Insulation,119059
-0.086,130.7102,234.1457,23.31,4872,LightGBM,Measured CO2,3h,Container With Insulation,119059
0.0286,85.8803,139.6094,17.92,12782,LightGBM,Measured CO2,3h,Mobile/Prefab,119059
-4.6046,511.6462,564.4689,99.99,70609,Persistence,Measured CO2,6h,ALL,118970
-0.0686,170.8115,246.4764,33.09,70609,HistMean,Measured CO2,6h,ALL,118970
0.1596,125.062,218.5852,23.27,70609,LightGBM,Measured CO2,6h,ALL,118970
-0.3196,102.5342,148.8521,22.74,7818,LightGBM,Measured CO2,6h,Brick First Floor,118970
0.1983,103.6074,209.283,17.82,12787,LightGBM,Measured CO2,6h,Brick Second Floor,118970
0.1428,92.3678,158.5718,18.2,16452,LightGBM,Measured CO2,6h,Brick Single Story,118970
0.2099,196.9068,312.6864,33.98,16041,LightGBM,Measured CO2,6h,Container No Insulation,118970
-0.5934,175.6905,284.8037,31.72,4821,LightGBM,Measured CO2,6h,Container With Insulation,118970
-0.046,92.8953,145.1255,18.93,12690,LightGBM,Measured CO2,6h,Mobile/Prefab,118970
0.8417,0.6683,1.5453,27.71,83074,Persistence,Measured PM1.0,11min,ALL,119252
-0.0426,2.93,3.9653,101.64,83074,HistMean,Measured PM1.0,11min,ALL,119252
0.7532,1.0347,1.9293,42.36,83074,LightGBM,Measured PM1.0,11min,ALL,119252
0.8111,1.1954,1.8381,41.15,8081,LightGBM,Measured PM1.0,11min,Brick First Floor,119252
0.7481,1.2422,2.0596,45.94,13011,LightGBM,Measured PM1.0,11min,Brick Second Floor,119252
0.8271,0.9693,1.5289,38.9,16741,LightGBM,Measured PM1.0,11min,Brick Single Story,119252
0.6186,1.1107,2.7677,38.93,16396,LightGBM,Measured PM1.0,11min,Container No Insulation,119252
0.8193,0.8814,1.4494,35.92,7683,LightGBM,Measured PM1.0,11min,Container With Insulation,119252
0.7761,0.8942,1.4722,50.7,21162,LightGBM,Measured PM1.0,11min,Mobile/Prefab,119252
0.7444,0.8019,1.9631,31.61,82994,Persistence,Measured PM1.0,33min,ALL,119246
-0.0427,2.9303,3.965,101.67,82994,HistMean,Measured PM1.0,33min,ALL,119246
0.6221,1.3268,2.3869,51.56,82994,LightGBM,Measured PM1.0,33min,ALL,119246
0.6562,1.6174,2.4817,53.48,8067,LightGBM,Measured PM1.0,33min,Brick First Floor,119246
0.5771,1.6136,2.6696,57.72,12997,LightGBM,Measured PM1.0,33min,Brick Second Floor,119246
0.6876,1.2914,2.0557,49.54,16725,LightGBM,Measured PM1.0,33min,Brick Single Story,119246
0.5115,1.3646,3.1318,46.12,16380,LightGBM,Measured PM1.0,33min,Container No Insulation,119246
0.7265,1.0629,1.7801,40.31,7675,LightGBM,Measured PM1.0,33min,Container With Insulation,119246
0.6334,1.134,1.8815,59.26,21150,LightGBM,Measured PM1.0,33min,Mobile/Prefab,119246
0.6434,0.986,2.319,37.47,82872,Persistence,Measured PM1.0,1h,ALL,119237
-0.0427,2.931,3.9653,101.69,82872,HistMean,Measured PM1.0,1h,ALL,119237
0.5144,1.6189,2.7061,63.8,82872,LightGBM,Measured PM1.0,1h,ALL,119237
0.4767,2.1847,3.0651,75.3,8046,LightGBM,Measured PM1.0,1h,Brick First Floor,119237
0.4864,1.9222,2.9441,71.81,12976,LightGBM,Measured PM1.0,1h,Brick Second Floor,119237
0.5808,1.562,2.3826,60.47,16701,LightGBM,Measured PM1.0,1h,Brick Single Story,119237
0.4024,1.639,3.4653,56.96,16356,LightGBM,Measured PM1.0,1h,Container No Insulation,119237
0.6384,1.2007,2.0478,44.24,7663,LightGBM,Measured PM1.0,1h,Container With Insulation,119237
0.5297,1.3981,2.1253,72.29,21130,LightGBM,Measured PM1.0,1h,Mobile/Prefab,119237
0.3812,1.4732,3.0591,54.31,82464,Persistence,Measured PM1.0,3h,ALL,119207
-0.0421,2.9341,3.97,101.64,82464,HistMean,Measured PM1.0,3h,ALL,119207
0.0806,2.5664,3.729,106.33,82464,LightGBM,Measured PM1.0,3h,ALL,119207
-0.297,3.8492,4.8452,142.13,7976,LightGBM,Measured PM1.0,3h,Brick First Floor,119207
0.0169,3.1302,4.0758,128.87,12906,LightGBM,Measured PM1.0,3h,Brick Second Floor,119207
-0.0122,2.8489,3.7075,119.96,16621,LightGBM,Measured PM1.0,3h,Brick Single Story,119207
0.1479,2.2563,4.1452,79.72,16276,LightGBM,Measured PM1.0,3h,Container No Insulation,119207
0.317,1.8127,2.8191,66.36,7623,LightGBM,Measured PM1.0,3h,Container With Insulation,119207
0.13,2.0247,2.8936,104.35,21062,LightGBM,Measured PM1.0,3h,Mobile/Prefab,119207
0.0445,2.0239,3.8119,72.77,81771,Persistence,Measured PM1.0,6h,ALL,119172
-0.04,2.9366,3.977,101.0,81771,HistMean,Measured PM1.0,6h,ALL,119172
-0.2691,3.3613,4.3931,144.73,81771,LightGBM,Measured PM1.0,6h,ALL,119172
-0.3763,4.0988,5.0238,152.75,7857,LightGBM,Measured PM1.0,6h,Brick First Floor,119172
-0.4376,4.0862,4.9446,178.39,12787,LightGBM,Measured PM1.0,6h,Brick Second Floor,119172
-0.5821,3.7815,4.6354,168.25,16485,LightGBM,Measured PM1.0,6h,Brick Single Story,119172
-0.0487,2.9459,4.6154,107.92,16140,LightGBM,Measured PM1.0,6h,Container No Insulation,119172
-0.1843,2.8421,3.7229,121.02,7555,LightGBM,Measured PM1.0,6h,Container With Insulation,119172
-0.3069,2.8187,3.5532,139.57,20947,LightGBM,Measured PM1.0,6h,Mobile/Prefab,119172
-0.6735,4.8826,7.6305,99.35,83074,Persistence,Measured PM2.5,11min,ALL,119252
-0.0308,4.3261,5.9887,138.28,83074,HistMean,Measured PM2.5,11min,ALL,119252
0.7928,1.4035,2.6847,40.15,83074,LightGBM,Measured PM2.5,11min,ALL,119252
0.8586,1.5213,2.4562,34.33,8081,LightGBM,Measured PM2.5,11min,Brick First Floor,119252
0.6342,1.9411,4.0691,51.4,13011,LightGBM,Measured PM2.5,11min,Brick Second Floor,119252
0.8567,1.3392,2.1096,37.02,16741,LightGBM,Measured PM2.5,11min,Brick Single Story,119252
0.7522,1.4477,3.1157,36.42,16396,LightGBM,Measured PM2.5,11min,Container No Insulation,119252
0.8536,1.231,2.0682,35.05,7683,LightGBM,Measured PM2.5,11min,Container With Insulation,119252
0.8605,1.1071,1.7933,43.25,21162,LightGBM,Measured PM2.5,11min,Mobile/Prefab,119252
-0.674,4.8808,7.6287,99.34,82994,Persistence,Measured PM2.5,33min,ALL,119246
-0.0309,4.3265,5.9867,138.34,82994,HistMean,Measured PM2.5,33min,ALL,119246
0.6456,1.9495,3.5101,55.79,82994,LightGBM,Measured PM2.5,33min,ALL,119246
0.7031,2.3282,3.562,56.17,8067,LightGBM,Measured PM2.5,33min,Brick First Floor,119246
0.4242,2.7573,5.1073,75.85,12997,LightGBM,Measured PM2.5,33min,Brick Second Floor,119246
0.7089,1.9224,3.0074,54.39,16725,LightGBM,Measured PM2.5,33min,Brick Single Story,119246
0.6151,1.9193,3.8804,47.55,16380,LightGBM,Measured PM2.5,33min,Container No Insulation,119246
0.7256,1.6508,2.8174,45.04,7675,LightGBM,Measured PM2.5,33min,Container With Insulation,119246
0.7487,1.4617,2.4048,54.67,21150,LightGBM,Measured PM2.5,33min,Mobile/Prefab,119246
-0.6741,4.8796,7.6297,99.32,82872,Persistence,Measured PM2.5,1h,ALL,119237
-0.031,4.3274,5.9873,138.37,82872,HistMean,Measured PM2.5,1h,ALL,119237
0.5706,2.2074,3.8641,63.54,82872,LightGBM,Measured PM2.5,1h,ALL,119237
0.5414,3.0294,4.4317,79.09,8046,LightGBM,Measured PM2.5,1h,Brick First Floor,119237
0.4311,2.8755,5.08,79.62,12976,LightGBM,Measured PM2.5,1h,Brick Second Floor,119237
0.6253,2.21,3.4141,60.96,16701,LightGBM,Measured PM2.5,1h,Brick Single Story,119237
0.5142,2.1852,4.3602,56.18,16356,LightGBM,Measured PM2.5,1h,Container No Insulation,119237
0.6365,1.8091,3.244,48.53,7663,LightGBM,Measured PM2.5,1h,Container With Insulation,119237
0.6733,1.6437,2.7365,60.74,21130,LightGBM,Measured PM2.5,1h,Mobile/Prefab,119237
-0.674,4.8802,7.6396,99.25,82464,Persistence,Measured PM2.5,3h,ALL,119207
-0.0305,4.3324,5.994,138.27,82464,HistMean,Measured PM2.5,3h,ALL,119207
0.0718,4.035,5.6888,134.84,82464,LightGBM,Measured PM2.5,3h,ALL,119207
-0.131,5.5332,6.9889,168.12,7976,LightGBM,Measured PM2.5,3h,Brick First Floor,119207
-0.1961,5.6415,7.3662,187.84,12906,LightGBM,Measured PM2.5,3h,Brick Second Floor,119207
-0.0648,4.5518,5.7638,151.25,16621,LightGBM,Measured PM2.5,3h,Brick Single Story,119207
0.2044,3.3394,5.5894,94.47,16276,LightGBM,Measured PM2.5,3h,Container No Insulation,119207
0.3163,2.9523,4.4552,86.75,7623,LightGBM,Measured PM2.5,3h,Container With Insulation,119207
0.2416,3.0049,4.1735,125.29,21062,LightGBM,Measured PM2.5,3h,Mobile/Prefab,119207
-0.6748,4.8904,7.6635,99.18,81771,Persistence,Measured PM2.5,6h,ALL,119172
-0.0289,4.3364,6.0067,137.62,81771,HistMean,Measured PM2.5,6h,ALL,119172
-0.4137,5.3974,7.0408,190.34,81771,LightGBM,Measured PM2.5,6h,ALL,119172
-0.5916,6.7854,8.3434,215.49,7857,LightGBM,Measured PM2.5,6h,Brick First Floor,119172
-0.7191,7.1724,8.8623,243.89,12787,LightGBM,Measured PM2.5,6h,Brick Second Floor,119172
-0.9496,6.4838,7.803,229.14,16485,LightGBM,Measured PM2.5,6h,Brick Single Story,119172
0.0064,4.1322,6.2691,125.46,16140,LightGBM,Measured PM2.5,6h,Container No Insulation,119172
-0.1349,4.2708,5.7574,139.29,7555,LightGBM,Measured PM2.5,6h,Container With Insulation,119172
-0.2712,4.3194,5.4136,188.07,20947,LightGBM,Measured PM2.5,6h,Mobile/Prefab,119172
0.7784,1.2025,3.0321,31.63,83074,Persistence,Measured PM10,11min,ALL,119252
-0.0384,4.6757,6.5635,149.4,83074,HistMean,Measured PM10,11min,ALL,119252
0.7628,1.597,3.1371,43.66,83074,LightGBM,Measured PM10,11min,ALL,119252
0.8537,1.6278,2.6654,36.11,8081,LightGBM,Measured PM10,11min,Brick First Floor,119252
0.4897,2.7302,5.5384,70.9,13011,LightGBM,Measured PM10,11min,Brick Second Floor,119252
0.8684,1.3714,2.14,36.66,16741,LightGBM,Measured PM10,11min,Brick Single Story,119252
0.7871,1.5134,3.1538,36.68,16396,LightGBM,Measured PM10,11min,Container No Insulation,119252
0.8431,1.3423,2.3105,37.05,7683,LightGBM,Measured PM10,11min,Container With Insulation,119252
0.8601,1.2241,1.9477,42.92,21162,LightGBM,Measured PM10,11min,Mobile/Prefab,119252
0.6816,1.4292,3.6324,35.82,82994,Persistence,Measured PM10,33min,ALL,119246
-0.0385,4.6758,6.56,149.45,82994,HistMean,Measured PM10,33min,ALL,119246
0.5814,2.0924,4.165,56.01,82994,LightGBM,Measured PM10,33min,ALL,119246
0.7282,2.2462,3.6363,50.73,8067,LightGBM,Measured PM10,33min,Brick First Floor,119246
0.0561,3.9312,7.5362,100.47,12997,LightGBM,Measured PM10,33min,Brick Second Floor,119246
0.7514,1.7949,2.9419,47.44,16725,LightGBM,Measured PM10,33min,Brick Single Story,119246
0.6689,1.9252,3.9286,45.01,16380,LightGBM,Measured PM10,33min,Container No Insulation,119246
0.7516,1.6181,2.8846,41.8,7675,LightGBM,Measured PM10,33min,Container With Insulation,119246
0.7671,1.4407,2.5118,50.12,21150,LightGBM,Measured PM10,33min,Mobile/Prefab,119246
0.5713,1.7437,4.215,42.3,82872,Persistence,Measured PM10,1h,ALL,119237
-0.0385,4.6762,6.5603,149.46,82872,HistMean,Measured PM10,1h,ALL,119237
0.4664,2.8352,4.7024,86.58,82872,LightGBM,Measured PM10,1h,ALL,119237
0.4647,3.7233,5.1086,103.86,8046,LightGBM,Measured PM10,1h,Brick First Floor,119237
0.1657,4.3583,7.0902,129.25,12976,LightGBM,Measured PM10,1h,Brick Second Floor,119237
0.5521,2.7788,3.951,85.26,16701,LightGBM,Measured PM10,1h,Brick Single Story,119237
0.4873,2.511,4.8896,64.93,16356,LightGBM,Measured PM10,1h,Container No Insulation,119237
0.5843,2.2617,3.7332,64.77,7663,LightGBM,Measured PM10,1h,Container With Insulation,119237
0.6284,2.0652,3.1649,78.7,21130,LightGBM,Measured PM10,1h,Mobile/Prefab,119237
0.2837,2.5304,5.4526,61.09,82464,Persistence,Measured PM10,3h,ALL,119207
-0.0382,4.6795,6.5641,149.33,82464,HistMean,Measured PM10,3h,ALL,119207
-0.015,4.6503,6.4904,158.11,82464,LightGBM,Measured PM10,3h,ALL,119207
-0.1239,5.8942,7.4331,182.32,7976,LightGBM,Measured PM10,3h,Brick First Floor,119207
-0.3063,6.5776,8.855,210.78,12906,LightGBM,Measured PM10,3h,Brick Second Floor,119207
-0.146,5.0633,6.3303,172.57,16621,LightGBM,Measured PM10,3h,Brick Single Story,119207
0.1271,3.9899,6.3908,117.63,16276,LightGBM,Measured PM10,3h,Container No Insulation,119207
0.2585,3.3994,4.993,104.15,7623,LightGBM,Measured PM10,3h,Container With Insulation,119207
0.1201,3.6354,4.8738,157.39,21062,LightGBM,Measured PM10,3h,Mobile/Prefab,119207
-0.0652,3.3964,6.6687,82.41,81771,Persistence,Measured PM10,6h,ALL,119172
-0.0364,4.6822,6.5779,148.63,81771,HistMean,Measured PM10,6h,ALL,119172
-0.327,5.5775,7.4434,188.53,81771,LightGBM,Measured PM10,6h,ALL,119172
-0.407,6.694,8.3697,203.82,7857,LightGBM,Measured PM10,6h,Brick First Floor,119172
-0.5204,7.5082,9.5883,241.32,12787,LightGBM,Measured PM10,6h,Brick Second Floor,119172
-0.7693,6.4678,7.8692,219.43,16485,LightGBM,Measured PM10,6h,Brick Single Story,119172
-0.0228,4.5154,6.9427,133.63,16140,LightGBM,Measured PM10,6h,Container No Insulation,119172
-0.1334,4.3886,6.192,137.43,7555,LightGBM,Measured PM10,6h,Container With Insulation,119172
-0.2611,4.5265,5.8464,188.81,20947,LightGBM,Measured PM10,6h,Mobile/Prefab,119172
0.413,79.4512,181.9248,12.29,71781,SVR,Measured CO2,1h,ALL,40000
0.3058,88.8215,198.1647,13.88,71347,SVR,Measured CO2,3h,ALL,40000
0.5455,2.6301,3.9754,83.39,82872,SVR,Measured PM2.5,1h,ALL,40000
0.1145,4.1886,5.5564,148.31,82464,SVR,Measured PM2.5,3h,ALL,40000
0.475,3.0995,4.6643,99.87,82872,SVR,Measured PM10,1h,ALL,40000
0.1236,4.3845,6.0312,148.48,82464,SVR,Measured PM10,3h,ALL,40000
0.7386,51.1468,121.5426,7.900000095367432,71768,LSTM,Measured CO2,11min,ALL,118937
-0.0423,161.7108,242.6944,30.75,71680,LSTM,Measured CO2,33min,ALL,118920
-0.022,153.3599,240.3674,28.520000457763672,71547,LSTM,Measured CO2,1h,ALL,118895
-0.0257,155.2958,241.1836,29.0,71113,LSTM,Measured CO2,3h,ALL,118830
-0.0378,160.855,243.2262,30.420000076293945,70375,LSTM,Measured CO2,6h,ALL,118748
0.7095,1.5866,3.1792,37.04999923706055,82822,LSTM,Measured PM2.5,11min,ALL,119006
0.6619,1.8129,3.4307,45.86000061035156,82742,LSTM,Measured PM2.5,33min,ALL,119000
0.5271,2.2406,4.058,55.900001525878906,82620,LSTM,Measured PM2.5,1h,ALL,118991
0.3487,2.709,4.7707,65.83999633789062,82212,LSTM,Measured PM2.5,3h,ALL,118966
0.1525,3.1134,5.4579,66.77999877929688,81519,LSTM,Measured PM2.5,6h,ALL,118932
0.6717,1.9083,3.6898,48.060001373291016,82822,LSTM,Measured PM10,11min,ALL,119006
0.6266,2.0892,3.9359,56.150001525878906,82742,LSTM,Measured PM10,33min,ALL,119000
0.5548,2.1788,4.296,54.41999816894531,82620,LSTM,Measured PM10,1h,ALL,118991
0.369,2.7418,5.1238,63.459999084472656,82212,LSTM,Measured PM10,3h,ALL,118966
0.2244,3.2232,5.6971,73.88999938964844,81519,LSTM,Measured PM10,6h,ALL,118932
0.3938,84.7247,184.8729,13.47,71781,SVR,Measured CO2,1h,ALL,20000
0.2852,90.3053,201.072,14.09,71347,SVR,Measured CO2,3h,ALL,20000
0.5608,2.5042,3.9078,73.58,82872,SVR,Measured PM2.5,1h,ALL,20000
0.208,3.8202,5.2548,131.57,82464,SVR,Measured PM2.5,3h,ALL,20000
0.5012,2.855,4.5467,87.65,82872,SVR,Measured PM10,1h,ALL,20000
0.2362,3.7457,5.6304,115.98,82464,SVR,Measured PM10,3h,ALL,20000
-0.0338,158.4928,241.7122,29.899999618530273,71768,LSTM,Measured CO2,11min,ALL,80000
-0.0318,157.6619,241.4682,29.670000076293945,71680,LSTM,Measured CO2,33min,ALL,80000
-0.0433,162.0969,242.8543,30.850000381469727,71547,LSTM,Measured CO2,1h,ALL,80000
-0.0298,157.1141,241.6723,29.489999771118164,71113,LSTM,Measured CO2,3h,ALL,80000
-0.0265,156.2264,241.9043,29.18000030517578,70375,LSTM,Measured CO2,6h,ALL,80000
0.7254,1.5522,3.0911,36.630001068115234,82822,LSTM,Measured PM2.5,11min,ALL,80000
0.6455,1.9673,3.513,53.439998626708984,82742,LSTM,Measured PM2.5,33min,ALL,80000
0.5432,2.1011,3.9884,46.689998626708984,82620,LSTM,Measured PM2.5,1h,ALL,80000
-0.0391,161.1496,243.0119,30.540000915527344,71079,RF_LSTM,Measured CO2,1h,ALL,118435
0.1932,100.6822,214.4931,17.860000610351562,70645,RF_LSTM,Measured CO2,3h,ALL,118381
0.5898,2.0504,3.7884,48.11000061035156,82116,RF_LSTM,Measured PM2.5,1h,ALL,118507
0.2604,3.1569,5.096,89.88999938964844,81708,RF_LSTM,Measured PM2.5,3h,ALL,118487
0.5756,2.1216,4.2045,51.619998931884766,82116,RF_LSTM,Measured PM10,1h,ALL,118507
0.2919,3.2138,5.4407,87.31999969482422,81708,RF_LSTM,Measured PM10,3h,ALL,118487
0.4633,72.4521,174.1776,11.270000457763672,71547,RF_LSTM,Measured CO2,1h,ALL,118895
-0.0232,154.1696,240.8968,28.700000762939453,71113,RF_LSTM,Measured CO2,3h,ALL,118830
0.5681,2.1461,3.878,55.09000015258789,82620,RF_LSTM,Measured PM2.5,1h,ALL,118991
-0.0441,162.1493,242.6832,30.889999389648438,71742,RF_LSTM,Measured CO2,1h,ALL,119090
-0.017,150.7914,239.8995,27.81999969482422,71308,RF_LSTM,Measured CO2,3h,ALL,119020
0.5922,2.1012,3.7663,52.70000076293945,82830,RF_LSTM,Measured PM2.5,1h,ALL,119196
0.3098,3.0156,4.9062,83.62999725341797,82422,RF_LSTM,Measured PM2.5,3h,ALL,119166
0.5644,2.1881,4.2496,48.9900016784668,82830,RF_LSTM,Measured PM10,1h,ALL,119196
0.3035,3.0552,5.3776,74.2699966430664,82422,RF_LSTM,Measured PM10,3h,ALL,119166
