R2,MAE,RMSE,MAPE,n,model,target,horizon,infra,n_train
0.4355,2.0361,2.6657,8.38,82464,XGBoost,Measured T,3h,ALL,119223
-0.0526,1.5398,1.8869,6.25,7976,XGBoost,Measured T,3h,Brick First Floor,119223
0.0831,1.8589,2.3243,7.34,12906,XGBoost,Measured T,3h,Brick Second Floor,119223
0.1448,1.5973,1.9702,6.41,16621,XGBoost,Measured T,3h,Brick Single Story,119223
0.4772,2.5884,3.3248,11.22,16276,XGBoost,Measured T,3h,Container No Insulation,119223
0.2444,2.5791,3.3073,10.2,7623,XGBoost,Measured T,3h,Container With Insulation,119223
0.529,2.0553,2.7566,8.54,21062,XGBoost,Measured T,3h,Mobile/Prefab,119223
-0.3143,3.2457,4.0207,13.43,81771,XGBoost,Measured T,6h,ALL,119205
-1.4176,2.4983,2.8321,10.19,7857,XGBoost,Measured T,6h,Brick First Floor,119205
-1.0344,2.9119,3.4174,11.53,12787,XGBoost,Measured T,6h,Brick Second Floor,119205
-1.131,2.6612,3.0646,10.77,16485,XGBoost,Measured T,6h,Brick Single Story,119205
-0.3665,4.3234,5.2873,18.58,16140,XGBoost,Measured T,6h,Container No Insulation,119205
-0.5559,3.7805,4.6452,14.97,7555,XGBoost,Measured T,6h,Container With Insulation,119205
-0.0234,3.1666,4.0318,13.36,20947,XGBoost,Measured T,6h,Mobile/Prefab,119205
0.9409,0.9901,1.9494,2.33,83074,XGBoost,Measured RH,11min,ALL,119253
0.9248,0.9301,1.8201,2.2,8081,XGBoost,Measured RH,11min,Brick First Floor,119253
0.9271,0.8773,1.7155,2.15,13011,XGBoost,Measured RH,11min,Brick Second Floor,119253
0.9015,0.8659,1.749,2.14,16741,XGBoost,Measured RH,11min,Brick Single Story,119253
0.9485,1.2472,2.4293,2.91,16396,XGBoost,Measured RH,11min,Container No Insulation,119253
0.8657,1.1547,2.3571,2.57,7683,XGBoost,Measured RH,11min,Container With Insulation,119253
0.9495,0.9215,1.6835,2.09,21162,XGBoost,Measured RH,11min,Mobile/Prefab,119253
0.8656,1.7132,2.9367,3.92,82994,XGBoost,Measured RH,33min,ALL,119249
0.84,1.5626,2.6577,3.61,8067,XGBoost,Measured RH,33min,Brick First Floor,119249
0.8467,1.4971,2.4887,3.55,12997,XGBoost,Measured RH,33min,Brick Second Floor,119249
0.8056,1.4543,2.4577,3.46,16725,XGBoost,Measured RH,33min,Brick Single Story,119249
0.8613,2.3098,3.9833,5.29,16380,XGBoost,Measured RH,33min,Container No Insulation,119249
0.7442,1.9891,3.2464,4.28,7675,XGBoost,Measured RH,33min,Container With Insulation,119249
0.8849,1.5459,2.5401,3.46,21150,XGBoost,Measured RH,33min,Mobile/Prefab,119249
0.7619,2.5705,3.9058,5.74,82872,XGBoost,Measured RH,1h,ALL,119243
0.7221,2.3398,3.5083,5.3,8046,XGBoost,Measured RH,1h,Brick First Floor,119243
0.7394,2.2357,3.2452,5.15,12976,XGBoost,Measured RH,1h,Brick Second Floor,119243
0.6712,2.2001,3.1979,5.06,16701,XGBoost,Measured RH,1h,Brick Single Story,119243
0.746,3.5831,5.3793,7.91,16356,XGBoost,Measured RH,1h,Container No Insulation,119243
0.6012,2.7375,4.0424,5.8,7663,XGBoost,Measured RH,1h,Container With Insulation,119243
0.781,2.3125,3.5028,5.1,21130,XGBoost,Measured RH,1h,Mobile/Prefab,119243
0.307,4.8195,6.6488,10.64,82464,XGBoost,Measured RH,3h,ALL,119223
0.3777,3.8202,5.277,8.57,7976,XGBoost,Measured RH,3h,Brick First Floor,119223
0.543,3.1547,4.297,7.17,12906,XGBoost,Measured RH,3h,Brick Second Floor,119223
0.3643,3.332,4.4534,7.52,16621,XGBoost,Measured RH,3h,Brick Single Story,119223
0.2898,6.59,8.9391,14.4,16276,XGBoost,Measured RH,3h,Container No Insulation,119223
-0.4029,5.9264,7.5179,12.58,7623,XGBoost,Measured RH,3h,Container With Insulation,119223
0.046,5.6233,7.3051,12.41,21062,XGBoost,Measured RH,3h,Mobile/Prefab,119223
-0.2264,6.8228,8.8161,14.94,81771,XGBoost,Measured RH,6h,ALL,119205
-0.1025,5.5144,7.0587,12.41,7857,XGBoost,Measured RH,6h,Brick First Floor,119205
0.0807,4.813,6.086,10.94,12787,XGBoost,Measured RH,6h,Brick Second Floor,119205
-0.2668,5.0496,6.2977,11.45,16485,XGBoost,Measured RH,6h,Brick Single Story,119205
-0.1457,8.5148,11.2739,18.34,16140,XGBoost,Measured RH,6h,Container No Insulation,119205
-1.8876,8.993,10.6578,18.96,7555,XGBoost,Measured RH,6h,Container With Insulation,119205
-0.6504,7.8494,9.5914,17.02,20947,XGBoost,Measured RH,6h,Mobile/Prefab,119205
0.8606,34.1534,88.6562,5.48,72002,XGBoost,Measured CO2,11min,ALL,119171
0.6695,34.757,73.9633,7.02,8079,XGBoost,Measured CO2,11min,Brick First Floor,119171
0.8473,33.6839,90.5859,5.18,13011,XGBoost,Measured CO2,11min,Brick Second Floor,119171
0.8671,26.9037,62.8374,4.78,16740,XGBoost,Measured CO2,11min,Brick Single Story,119171
0.8788,46.6008,121.752,6.31,16393,XGBoost,Measured CO2,11min,Container No Insulation,119171
0.8168,34.5756,95.8857,5.08,4917,XGBoost,Measured CO2,11min,Container With Insulation,119171
0.7649,27.6588,68.6743,4.83,12862,XGBoost,Measured CO2,11min,Mobile/Prefab,119171
0.5768,72.3491,154.4466,13.79,71914,XGBoost,Measured CO2,33min,ALL,119154
-0.364,78.6879,150.1861,18.16,8061,XGBoost,Measured CO2,33min,Brick First Floor,119154
0.6344,55.8753,140.2491,8.79,12997,XGBoost,Measured CO2,33min,Brick Second Floor,119154
0.5876,52.4192,110.732,10.02,16722,XGBoost,Measured CO2,33min,Brick Single Story,119154
0.6158,115.0304,216.6889,21.98,16371,XGBoost,Measured CO2,33min,Container No Insulation,119154
